table
__flowNodes
__dataView
__masterConfigs
flows
forms
__programCatalogues
medias
menus
menuItems
notificationGroups
notificationMasters
promotionTypes
eventQueries
connectors
icons
templates
pages
__tenantPrograms
translations
widgets
