table
__flowNodes
__dataView
__masterConfigs
audiences
audienceMappings
productAndBehaviors
claimConfigurations
flows
forms
__programCatalogues
hooks
medias
menus
menuItems
notificationGroups
notificationMasters
measureNotifications
hierarchies
organizations
promotionTypes
tags
eventQueries
connectors
icons
templates
pages
__tenantPrograms
promotions
promotionMeasures
translations
widgets
